index,sample,etchlevel,etchtime,species,expected_sigma_eV,fitted_sigma_eV,fitted_stderr,delta_eV
9,ReTa03,9,90.115,Re2O7 (Re7+),0.3,0.9999999999999999,0.22463907297862412,0.7
10,ReTa04,0,0.0,Re metal,0.12,0.2148504376069138,0.004083631394053384,0.0948504376069138
10,ReTa04,0,0.0,ReO2 (Re4+),0.25,0.5999999999999999,0.09241135121167486,0.34999999999999987
10,ReTa04,0,0.0,ReO3 (Re6+),0.25,0.5995653881899349,0.1439574001927817,0.3495653881899349
10,ReTa04,0,0.0,Re2O7 (Re7+),0.3,0.9999999999999999,0.2594440614815743,0.7
11,ReTa04,1,10.013,Re metal,0.12,0.2078295563512164,0.004140456438333076,0.08782955635121639
11,ReTa04,1,10.013,ReO2 (Re4+),0.25,0.5999999999999999,0.3266497786880836,0.34999999999999987
11,ReTa04,1,10.013,ReO3 (Re6+),0.25,0.655470937260564,0.5547399071672836,0.40547093726056405
11,ReTa04,1,10.013,Re2O7 (Re7+),0.3,0.9999999999999999,0.1985238487134115,0.7
12,ReTa04,2,20.026,Re metal,0.12,0.20798910107901616,0.004357570375213225,0.08798910107901617
12,ReTa04,2,20.026,ReO2 (Re4+),0.25,0.5999999999999999,0.3571708619952179,0.34999999999999987
12,ReTa04,2,20.026,ReO3 (Re6+),0.25,0.6387488618530702,0.5915403676865963,0.3887488618530702
12,ReTa04,2,20.026,Re2O7 (Re7+),0.3,0.9999999999999999,0.19728823534012543,0.7
13,ReTa04,3,30.039,Re metal,0.12,0.20831122202176552,0.004395528618378106,0.08831122202176553
13,ReTa04,3,30.039,ReO2 (Re4+),0.25,0.5999999999999999,0.35564607926304154,0.34999999999999987
13,ReTa04,3,30.039,ReO3 (Re6+),0.25,0.644729297090961,0.5975813024463847,0.39472929709096105
13,ReTa04,3,30.039,Re2O7 (Re7+),0.3,0.9999999999999999,0.19781137386186567,0.7
14,ReTa04,4,40.051,Re metal,0.12,0.20839587256935613,0.004377798749095481,0.08839587256935613
14,ReTa04,4,40.051,ReO2 (Re4+),0.25,0.5999999999999999,0.3639173094931835,0.34999999999999987
14,ReTa04,4,40.051,ReO3 (Re6+),0.25,0.6397100256647243,0.6043958042002293,0.38971002566472435
14,ReTa04,4,40.051,Re2O7 (Re7+),0.3,0.9999999999999999,0.19488792350848058,0.7
15,ReTa04,5,50.063,Re metal,0.12,0.20777796911087643,0.004368805754580172,0.08777796911087643
15,ReTa04,5,50.063,ReO2 (Re4+),0.25,0.5999999999999999,0.367270052249183,0.34999999999999987
15,ReTa04,5,50.063,ReO3 (Re6+),0.25,0.6542832395032269,0.6388728945827332,0.40428323950322687
15,ReTa04,5,50.063,Re2O7 (Re7+),0.3,0.9999999999999999,0.19767990694313609,0.7
16,ReTa04,6,60.076,Re metal,0.12,0.20846241942023008,0.004397474691044484,0.08846241942023009
16,ReTa04,6,60.076,ReO2 (Re4+),0.25,0.5999999999999999,0.37436419833538676,0.34999999999999987
16,ReTa04,6,60.076,ReO3 (Re6+),0.25,0.6492340876682459,0.639175443385028,0.39923408766824586
16,ReTa04,6,60.076,Re2O7 (Re7+),0.3,0.9999999999999999,0.19798533846000102,0.7
17,ReTa04,7,70.089,Re metal,0.12,0.20857138434700942,0.004510299650117085,0.08857138434700942
17,ReTa04,7,70.089,ReO2 (Re4+),0.25,0.5999999999999999,0.38340068073771016,0.34999999999999987
17,ReTa04,7,70.089,ReO3 (Re6+),0.25,0.6597911314596597,0.6707043260101649,0.40979113145965973
17,ReTa04,7,70.089,Re2O7 (Re7+),0.3,0.9999999999999999,0.19711803235809253,0.7
18,ReTa04,8,80.101,Re metal,0.12,0.20854293022469497,0.004403286090537677,0.08854293022469498
18,ReTa04,8,80.101,ReO2 (Re4+),0.25,0.5999999999999999,0.3746263150679575,0.34999999999999987
18,ReTa04,8,80.101,ReO3 (Re6+),0.25,0.6295769850271843,0.6123107003895187,0.3795769850271843
18,ReTa04,8,80.101,Re2O7 (Re7+),0.3,0.9999999999999999,0.19362488823098836,0.7
19,ReTa04,9,90.114,Re metal,0.12,0.20805263331025595,0.004157207959904152,0.08805263331025595
19,ReTa04,9,90.114,ReO2 (Re4+),0.25,0.5999999999999999,0.3355497768512726,0.34999999999999987
19,ReTa04,9,90.114,ReO3 (Re6+),0.25,0.6490454491292759,0.5588066140555359,0.39904544912927586
19,ReTa04,9,90.114,Re2O7 (Re7+),0.3,0.9999999999999999,0.19996877192166418,0.7
