index,sample,etchlevel,etchtime,reference_profile,species,expected_amp,fitted_amp,stderr,delta
10,ReTa04,0,0.0,Control-derived reference,Re2O7 (Re7+),0.1,0.037519466395859374,0.0071648939362595025,-0.06248053360414063
11,ReTa04,1,10.013,Control-derived reference,Re metal,0.5,0.8222280028179382,0.02424296872130568,0.3222280028179382
11,ReTa04,1,10.013,Control-derived reference,ReO2 (Re4+),0.25,0.08582746857852995,0.0725163861513557,-0.16417253142147004
11,ReTa04,1,10.013,Control-derived reference,ReO3 (Re6+),0.15,0.03722612565524204,0.0623141968140791,-0.11277387434475795
11,ReTa04,1,10.013,Control-derived reference,Re2O7 (Re7+),0.1,0.054718402948289765,0.0075790884364980785,-0.04528159705171024
12,ReTa04,2,20.026,Control-derived reference,Re metal,0.5,0.8202419619485705,0.02587450674169586,0.32024196194857046
12,ReTa04,2,20.026,Control-derived reference,ReO2 (Re4+),0.25,0.08668118547810409,0.0809805816200428,-0.1633188145218959
12,ReTa04,2,20.026,Control-derived reference,ReO3 (Re6+),0.15,0.03614407360264389,0.0694555650332405,-0.1138559263973561
12,ReTa04,2,20.026,Control-derived reference,Re2O7 (Re7+),0.1,0.05693277897068158,0.007761286461693668,-0.043067221029318425
13,ReTa04,3,30.039,Control-derived reference,Re metal,0.5,0.8199423571818744,0.025927406905981214,0.31994235718187436
13,ReTa04,3,30.039,Control-derived reference,ReO2 (Re4+),0.25,0.08642030170799533,0.08055774851124954,-0.16357969829200467
13,ReTa04,3,30.039,Control-derived reference,ReO3 (Re6+),0.15,0.036414254899260964,0.069136132311175,-0.11358574510073903
13,ReTa04,3,30.039,Control-derived reference,Re2O7 (Re7+),0.1,0.057223086210869335,0.007835659788465416,-0.04277691378913067
14,ReTa04,4,40.051,Control-derived reference,Re metal,0.5,0.8191831732391244,0.02610140140473592,0.3191831732391244
14,ReTa04,4,40.051,Control-derived reference,ReO2 (Re4+),0.25,0.08686711412476142,0.08423045933069107,-0.16313288587523858
14,ReTa04,4,40.051,Control-derived reference,ReO3 (Re6+),0.15,0.03638785611538985,0.07241375915951544,-0.11361214388461015
14,ReTa04,4,40.051,Control-derived reference,Re2O7 (Re7+),0.1,0.057561856520724264,0.00774031426166647,-0.04243814347927574
15,ReTa04,5,50.063,Control-derived reference,Re metal,0.5,0.8202313917357361,0.02596096697188265,0.3202313917357361
15,ReTa04,5,50.063,Control-derived reference,ReO2 (Re4+),0.25,0.08585452254074358,0.08681096684481864,-0.16414547745925642
15,ReTa04,5,50.063,Control-derived reference,ReO3 (Re6+),0.15,0.03682243884234737,0.07538061818764885,-0.11317756115765262
15,ReTa04,5,50.063,Control-derived reference,Re2O7 (Re7+),0.1,0.057091646881172936,0.007841891515309684,-0.04290835311882707
16,ReTa04,6,60.076,Control-derived reference,Re metal,0.5,0.8208250484656993,0.026351668846274635,0.32082504846569926
16,ReTa04,6,60.076,Control-derived reference,ReO2 (Re4+),0.25,0.08573841983782764,0.08824555757638844,-0.16426158016217235
16,ReTa04,6,60.076,Control-derived reference,ReO3 (Re6+),0.15,0.03658048415709367,0.07634107123734739,-0.11341951584290633
16,ReTa04,6,60.076,Control-derived reference,Re2O7 (Re7+),0.1,0.056856047539379506,0.0078026522193441914,-0.0431439524606205
17,ReTa04,7,70.089,Control-derived reference,Re metal,0.5,0.8189225184315585,0.026939313699145814,0.3189225184315585
17,ReTa04,7,70.089,Control-derived reference,ReO2 (Re4+),0.25,0.08533156627577783,0.09202725403125941,-0.16466843372422219
17,ReTa04,7,70.089,Control-derived reference,ReO3 (Re6+),0.15,0.037274882136607,0.07997244201555138,-0.112725117863393
17,ReTa04,7,70.089,Control-derived reference,Re2O7 (Re7+),0.1,0.05847103315605669,0.008020363566753069,-0.04152896684394332
18,ReTa04,8,80.101,Control-derived reference,Re metal,0.5,0.8200149586959372,0.02652494200760496,0.3200149586959372
18,ReTa04,8,80.101,Control-derived reference,ReO2 (Re4+),0.25,0.08664164601944843,0.08576647099970647,-0.16335835398055157
18,ReTa04,8,80.101,Control-derived reference,ReO3 (Re6+),0.15,0.0352039573424538,0.07337575421416585,-0.1147960426575462
18,ReTa04,8,80.101,Control-derived reference,Re2O7 (Re7+),0.1,0.058139437942160505,0.007709830367123511,-0.0418605620578395
19,ReTa04,9,90.114,Control-derived reference,Re metal,0.5,0.823391904678934,0.02458608098364614,0.323391904678934
19,ReTa04,9,90.114,Control-derived reference,ReO2 (Re4+),0.25,0.08563360427081958,0.07467531806829314,-0.16436639572918044
19,ReTa04,9,90.114,Control-derived reference,ReO3 (Re6+),0.15,0.036909735052659,0.06409332985721593,-0.113090264947341
19,ReTa04,9,90.114,Control-derived reference,Re2O7 (Re7+),0.1,0.05406475599758749,0.007531233110851393,-0.045935244002412515
