index,sample,etchlevel,etchtime,element,species,spin,expected_eV,fitted_eV,fitted_stderr,delta_eV
16,ReTa04,6,60.076,Re4f,Re metal,5/2,42.77,43.03915107219259,0.009817548441529485,0.26915107219258516
16,ReTa04,6,60.076,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.38396653233350925,-0.3999999999999986
16,ReTa04,6,60.076,Re4f,ReO2 (Re4+),5/2,44.62,44.2376792773762,0.383851514436934,-0.38232072262379546
16,ReTa04,6,60.076,Re4f,ReO3 (Re6+),7/2,43.1,43.157164540516455,1.2699766396709906,0.057164540516453144
16,ReTa04,6,60.076,Re4f,ReO3 (Re6+),5/2,45.52,45.59484381789265,1.2696142796468628,0.07484381789264916
16,ReTa04,6,60.076,Re4f,Re2O7 (Re7+),7/2,45.5,46.699999999999996,0.3456509048497184,1.1999999999999957
16,ReTa04,6,60.076,Re4f,Re2O7 (Re7+),5/2,47.92,49.13767927737619,0.34507226462524504,1.2176792773761917
17,ReTa04,7,70.089,Re4f,Re metal,7/2,40.35,40.603440941421425,0.008757327636925119,0.2534409414214238
17,ReTa04,7,70.089,Re4f,Re metal,5/2,42.77,43.04013620020078,0.010002873152637664,0.2701362002007741
17,ReTa04,7,70.089,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.3991076431417761,-0.3999999999999986
17,ReTa04,7,70.089,Re4f,ReO2 (Re4+),5/2,44.62,44.236695258779356,0.3991235532051506,-0.3833047412206412
17,ReTa04,7,70.089,Re4f,ReO3 (Re6+),7/2,43.1,43.158793146406985,1.3345188271217117,0.058793146406983965
17,ReTa04,7,70.089,Re4f,ReO3 (Re6+),5/2,45.52,45.59548840518634,1.3342900413712204,0.07548840518633426
17,ReTa04,7,70.089,Re4f,Re2O7 (Re7+),7/2,45.5,46.699999999999996,0.3440849765625045,1.1999999999999957
17,ReTa04,7,70.089,Re4f,Re2O7 (Re7+),5/2,47.92,49.13669525877935,0.34345805404342455,1.216695258779346
18,ReTa04,8,80.101,Re4f,Re metal,7/2,40.35,40.599844909735296,0.00858392639187963,0.2498449097352946
18,ReTa04,8,80.101,Re4f,Re metal,5/2,42.77,43.037145732448245,0.009935870084657532,0.2671457324482418
18,ReTa04,8,80.101,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.37197743808086453,-0.3999999999999986
18,ReTa04,8,80.101,Re4f,ReO2 (Re4+),5/2,44.62,44.23730082271295,0.3716243844049379,-0.3826991772870443
18,ReTa04,8,80.101,Re4f,ReO3 (Re6+),7/2,43.1,43.150938089719546,1.215204286073528,0.050938089719544166
18,ReTa04,8,80.101,Re4f,ReO3 (Re6+),5/2,45.52,45.588238912432494,1.2145888661765676,0.06823891243249136
18,ReTa04,8,80.101,Re4f,Re2O7 (Re7+),7/2,45.5,46.699999999999996,0.33795782601276236,1.1999999999999957
18,ReTa04,8,80.101,Re4f,Re2O7 (Re7+),5/2,47.92,49.137300822712945,0.3374309264436579,1.217300822712943
19,ReTa04,9,90.114,Re4f,Re metal,7/2,40.35,40.59966044963071,0.008036124545437567,0.24966044963071
19,ReTa04,9,90.114,Re4f,Re metal,5/2,42.77,43.034619114555376,0.009193279890361391,0.2646191145553729
19,ReTa04,9,90.114,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.32063771287383325,-0.3999999999999986
19,ReTa04,9,90.114,Re4f,ReO2 (Re4+),5/2,44.62,44.23495866492467,0.32078129791950344,-0.38504133507532856
19,ReTa04,9,90.114,Re4f,ReO3 (Re6+),7/2,43.1,43.198399841844235,1.056794007246631,0.098399841844234
19,ReTa04,9,90.114,Re4f,ReO3 (Re6+),5/2,45.52,45.6333585067689,1.0567249918920663,0.11335850676889692
19,ReTa04,9,90.114,Re4f,Re2O7 (Re7+),7/2,45.5,46.699999999999996,0.3483215434625279,1.1999999999999957
19,ReTa04,9,90.114,Re4f,Re2O7 (Re7+),5/2,47.92,49.13495866492466,0.3476889985718413,1.2149586649246586
