sample,group,element,species,spin,expected_eV,fitted_eV,stderr_eV,delta_eV,etchlevel,etchtime,depth_order
ReTa03,Unknown,Ta4f,Ta alloy,7/2,24.0,23.659052825811518,0.027140192075674967,-0.3409471741884822,1.0,10.013,2
ReTa03,Unknown,Ta4f,Ta alloy,7/2,24.0,23.62537837424952,0.021628935095042538,-0.3746216257504784,2.0,20.026,3
ReTa03,Unknown,Ta4f,Ta alloy,7/2,24.0,23.61876606229798,0.02098085224118918,-0.38123393770202085,3.0,30.038,4
ReTa03,Unknown,Ta4f,Ta alloy,7/2,24.0,23.60927422394209,0.019806076422062963,-0.39072577605790926,4.0,40.051,5
ReTa03,Unknown,Ta4f,Ta alloy,7/2,24.0,23.615358186127793,0.020552067998308637,-0.3846418138722072,5.0,50.064,6
ReTa03,Unknown,Ta4f,Ta alloy,7/2,24.0,23.603233614434394,0.01981789551279691,-0.3967663855656056,6.0,60.077,7
ReTa03,Unknown,Ta4f,Ta alloy,7/2,24.0,23.60555007469381,0.019741277479236714,-0.3944499253061906,7.0,70.09,8
ReTa03,Unknown,Ta4f,Ta alloy,7/2,24.0,23.606765892000897,0.01986443060162953,-0.39323410799910263,8.0,80.103,9
ReTa03,Unknown,Ta4f,Ta alloy,7/2,24.0,24.245307291415465,0.042202427255570635,0.2453072914154646,9.0,90.115,10
ReTa03,Unknown,Ta4f,Ta interface,5/2,24.3,25.696139275759435,0.09704112480553884,1.3961392757594346,,,0
ReTa03,Unknown,Ta4f,Ta interface,5/2,24.3,25.71836648409843,0.10998473139018894,1.4183664840984278,0.0,0.0,1
ReTa03,Unknown,Ta4f,Ta interface,5/2,24.3,24.509637272185472,0.03771502062456121,0.20963727218547135,1.0,10.013,2
ReTa03,Unknown,Ta4f,Ta interface,5/2,24.3,24.500707878217852,0.03971473997619634,0.20070787821785174,2.0,20.026,3
ReTa03,Unknown,Ta4f,Ta interface,5/2,24.3,24.49497016011704,0.04024525855722513,0.19497016011704105,3.0,30.038,4
ReTa03,Unknown,Ta4f,Ta interface,5/2,24.3,24.491108947540386,0.0423384061296422,0.19110894754038554,4.0,40.051,5
ReTa03,Unknown,Ta4f,Ta interface,5/2,24.3,24.493290611231238,0.04182808746524351,0.19329061123123736,5.0,50.064,6
ReTa03,Unknown,Ta4f,Ta interface,5/2,24.3,24.487957509896894,0.04220923150596759,0.18795750989689353,6.0,60.077,7
ReTa03,Unknown,Ta4f,Ta interface,5/2,24.3,24.482117145069495,0.041384955206403194,0.18211714506949406,7.0,70.09,8
ReTa03,Unknown,Ta4f,Ta interface,5/2,24.3,24.484738537353735,0.0414083542524058,0.18473853735373424,8.0,80.103,9
ReTa03,Unknown,Ta4f,Ta interface,5/2,24.3,24.493373937016298,0.05860731979733327,0.1933739370162968,9.0,90.115,10
ReTa03,Unknown,Ta4f,Ta interface,7/2,22.4,22.69613927575944,0.09704112480553853,0.2961392757594403,,,0
ReTa03,Unknown,Ta4f,Ta interface,7/2,22.4,22.71836648409843,0.10998473139018894,0.31836648409842994,0.0,0.0,1
ReTa03,Unknown,Ta4f,Ta interface,7/2,22.4,22.551580369382382,0.0372061808130504,0.1515803693823834,1.0,10.013,2
ReTa03,Unknown,Ta4f,Ta interface,7/2,22.4,22.54763641941056,0.03939738027434987,0.14763641941055994,2.0,20.026,3
ReTa03,Unknown,Ta4f,Ta interface,7/2,22.4,22.547002503402837,0.039941373214452965,0.14700250340283816,3.0,30.038,4
ReTa03,Unknown,Ta4f,Ta interface,7/2,22.4,22.54406918088048,0.042096531190873615,0.14406918088048215,4.0,40.051,5
ReTa03,Unknown,Ta4f,Ta interface,7/2,22.4,22.5472526612379,0.041613773136663396,0.14725266123789993,5.0,50.064,6
ReTa03,Unknown,Ta4f,Ta interface,7/2,22.4,22.54152010083897,0.04197099665885364,0.14152010083897082,6.0,60.077,7
ReTa03,Unknown,Ta4f,Ta interface,7/2,22.4,22.538646968472374,0.04114736164968283,0.13864696847237568,7.0,70.09,8
ReTa03,Unknown,Ta4f,Ta interface,7/2,22.4,22.538205297348345,0.04121818824613705,0.13820529734834608,8.0,80.103,9
ReTa03,Unknown,Ta4f,Ta interface,7/2,22.4,22.54191531994495,0.05863754124415805,0.14191531994494966,9.0,90.115,10
ReTa03,Unknown,Ta4f,Ta metal,5/2,23.9,25.199999999999974,4.5043176797868645e-08,1.2999999999999758,,,0
ReTa03,Unknown,Ta4f,Ta metal,5/2,23.9,25.2,4.570811559562287e-09,1.3000000000000007,0.0,0.0,1
ReTa03,Unknown,Ta4f,Ta metal,5/2,23.9,24.117109728614608,0.02904516871455464,0.2171097286146093,1.0,10.013,2
ReTa03,Unknown,Ta4f,Ta metal,5/2,23.9,24.07844983305681,0.02320394684961652,0.17844983305680984,2.0,20.026,3
ReTa03,Unknown,Ta4f,Ta metal,5/2,23.9,24.066733719012184,0.022465451402775036,0.1667337190121856,3.0,30.038,4
ReTa03,Unknown,Ta4f,Ta metal,5/2,23.9,24.056313990601986,0.02131862346983672,0.15631399060198703,4.0,40.051,5
ReTa03,Unknown,Ta4f,Ta metal,5/2,23.9,24.061396136121132,0.02215391535085209,0.1613961361211338,5.0,50.064,6
ReTa03,Unknown,Ta4f,Ta metal,5/2,23.9,24.049671023492316,0.021409978661143532,0.1496710234923171,6.0,60.077,7
ReTa03,Unknown,Ta4f,Ta metal,5/2,23.9,24.04902025129093,0.02134287155752452,0.14902025129093133,7.0,70.09,8
ReTa03,Unknown,Ta4f,Ta metal,5/2,23.9,24.053299132006288,0.021531827632154877,0.15329913200628908,8.0,80.103,9
