sample,group,element,species,spin,expected_eV,fitted_eV,stderr_eV,delta_eV
BOE_WK3,BOE,Re4f,Redp3 (Reδ+3),5/2,43.5,43.60208845152193,0.031195067743493864,0.10208845152192936
BOE_WK3,BOE,Re4f,ReO2 (Re4+),7/2,42.2,41.82362853704463,0.09070786060764534,-0.37637146295537605
BOE_WK3,BOE,Re4f,ReO2 (Re4+),5/2,44.62,44.25065805314739,0.09205836535722023,-0.36934194685260735
BOE_WK3,BOE,Re4f,ReO3 (Re6+),7/2,43.1,43.19585902698561,0.3878295093809583,0.09585902698560744
BOE_WK3,BOE,Re4f,ReO3 (Re6+),5/2,45.52,45.62288854308837,0.3900847663675737,0.10288854308836903
BOE_WK3,BOE,Re4f,Re2O7 (Re7+),7/2,45.5,45.922038657325004,0.009000827889194516,0.4220386573250039
BOE_WK3,BOE,Re4f,Re2O7 (Re7+),5/2,47.92,48.34906817342777,0.008694631215945147,0.4290681734277655
Control_WK0,Control,Re4f,Re metal,7/2,40.35,40.460184743936985,0.026126248979099716,0.11018474393698341
Control_WK0,Control,Re4f,Re metal,5/2,42.77,42.88546197415325,0.02609703609709053,0.11546197415324855
Control_WK0,Control,Re4f,Redp1 (Reδ+1),7/2,40.57,40.680184743936984,0.026126249023402305,0.11018474393698341
Control_WK0,Control,Re4f,Redp1 (Reδ+1),5/2,42.99,43.10546197415325,0.02609703609709053,0.11546197415324855
Control_WK0,Control,Re4f,Redp2 (Reδ+2),7/2,40.8,40.91018474393699,0.026126249023402305,0.11018474393699051
Control_WK0,Control,Re4f,Redp2 (Reδ+2),5/2,43.22,43.335461974153255,0.02609703609709053,0.11546197415325565
Control_WK0,Control,Re4f,Redp3 (Reδ+3),7/2,41.08,41.19018474393698,0.026126249023402305,0.11018474393698341
Control_WK0,Control,Re4f,Redp3 (Reδ+3),5/2,43.5,43.61546197415325,0.02609703609709053,0.11546197415324855
Control_WK0,Control,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.06559958538240841,-0.3999999999999986
